2011-08-31 09:55:00 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/var/www/test.likepie.net/cakephp/cake/libs/debugger.php, line 694]
2011-08-31 09:55:00 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/var/www/test.likepie.net/cakephp/cake/libs/debugger.php, line 698]
2011-08-31 10:23:09 Notice: Notice (8): Undefined variable: name in [/var/www/test.likepie.net/cakephp/app/controllers/parts_controller.php, line 70]
2011-08-31 10:23:09 Notice: Notice (8): Undefined variable: desc in [/var/www/test.likepie.net/cakephp/app/controllers/parts_controller.php, line 71]
2011-08-31 10:23:21 Notice: Notice (8): Undefined offset: 8 in [/var/www/test.likepie.net/cakephp/app/controllers/parts_controller.php, line 70]
2011-08-31 10:23:21 Notice: Notice (8): Undefined variable: desc in [/var/www/test.likepie.net/cakephp/app/controllers/parts_controller.php, line 71]
2011-08-31 10:23:36 Notice: Notice (8): Undefined variable: desc in [/var/www/test.likepie.net/cakephp/app/controllers/parts_controller.php, line 71]
2011-08-31 11:36:57 Notice: Notice (8): Undefined variable: sTable in [/var/www/test.likepie.net/cakephp/app/views/parts/admin_index.ctp, line 46]
2011-08-31 11:36:57 Notice: Notice (8): Undefined variable: filters in [/var/www/test.likepie.net/cakephp/app/views/parts/admin_index.ctp, line 46]
2011-08-31 11:36:59 Notice: Notice (8): Undefined variable: sTable in [/var/www/test.likepie.net/cakephp/app/views/parts/admin_index.ctp, line 46]
2011-08-31 11:36:59 Notice: Notice (8): Undefined variable: filters in [/var/www/test.likepie.net/cakephp/app/views/parts/admin_index.ctp, line 46]
2011-08-31 11:37:00 Notice: Notice (8): Undefined variable: sTable in [/var/www/test.likepie.net/cakephp/app/views/parts/admin_index.ctp, line 46]
2011-08-31 11:37:00 Notice: Notice (8): Undefined variable: filters in [/var/www/test.likepie.net/cakephp/app/views/parts/admin_index.ctp, line 46]
2011-08-31 11:50:50 Notice: Notice (8): Undefined property: PartsController::$RequestHandler in [/var/www/test.likepie.net/cakephp/app/controllers/parts_controller.php, line 19]
2011-08-31 12:03:57 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 21]
2011-08-31 12:03:57 Notice: Notice (8): Undefined variable: prePend in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 21]
2011-08-31 12:03:57 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 33]
2011-08-31 12:03:57 Notice: Notice (8): Undefined variable: conditions in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 39]
2011-08-31 12:03:57 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 48]
2011-08-31 12:03:57 Notice: Notice (8): Undefined variable: tName in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 54]
2011-08-31 12:05:18 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 21]
2011-08-31 12:05:18 Notice: Notice (8): Undefined variable: prePend in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 21]
2011-08-31 12:05:18 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 33]
2011-08-31 12:05:18 Notice: Notice (8): Undefined variable: conditions in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 39]
2011-08-31 12:05:18 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 48]
2011-08-31 12:05:18 Notice: Notice (8): Undefined variable: tName in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 54]
2011-08-31 12:05:50 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 21]
2011-08-31 12:05:50 Notice: Notice (8): Undefined variable: prePend in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 21]
2011-08-31 12:05:50 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 33]
2011-08-31 12:05:50 Notice: Notice (8): Undefined variable: conditions in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 39]
2011-08-31 12:05:50 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 48]
2011-08-31 12:05:50 Notice: Notice (8): Undefined variable: tName in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 54]
2011-08-31 12:10:06 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 21]
2011-08-31 12:10:06 Notice: Notice (8): Undefined variable: prePend in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 21]
2011-08-31 12:10:06 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 33]
2011-08-31 12:10:06 Notice: Notice (8): Undefined variable: conditions in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 39]
2011-08-31 12:10:06 Notice: Notice (8): Undefined variable: aColumns in [/var/www/test.likepie.net/cakephp/app/controllers/components/data_tables.php, line 48]
